Mission,Orb. phase,Exposure time [s]
TESS,0.0034772207584665895,120
CHEOPS,0.003481289471800557,10
TESS,0.003486682310307253,120
CHEOPS,0.0034876778652521297,10
CHEOPS,0.00348950756046972,10
CHEOPS,0.003490787604171152,10
CHEOPS,0.0034979623430877395,10
TESS,0.0035035904632966406,120
CHEOPS,0.0035043488630476633,10
CHEOPS,0.0035061797626527416,10
CHEOPS,0.0035074569961167004,10
CHEOPS,0.003514633541614521,10
CHEOPS,0.003521021667424429,10
CHEOPS,0.003522851964835764,10
CHEOPS,0.003524128194643482,10
TESS,0.003530644364149764,120
CHEOPS,0.0035313064798121194,10
TESS,0.003536861655327826,120
CHEOPS,0.0035376943379803634,10
CHEOPS,0.003539522494258385,10
CHEOPS,0.003540797653499447,10
CHEOPS,0.0035479792841888857,10
CHEOPS,0.003554365402686313,10
CHEOPS,0.0035561947633518227,10
CHEOPS,0.003557468852026228,10
TESS,0.0035592758963435707,120
CHEOPS,0.003564650549626083,10
CHEOPS,0.0035710380732422472,10
TESS,0.003572026734345018,120
CHEOPS,0.003572866831714013,10
TESS,0.0035734480824214923,120
CHEOPS,0.0035741399167321776,10
CHEOPS,0.003581323420913265,10
CHEOPS,0.0035877092048586124,10
CHEOPS,0.003589537494957466,10
CHEOPS,0.0035908095094089746,10
CHEOPS,0.0035979963591108634,10
CHEOPS,0.0036043818754145467,10
CHEOPS,0.0036062096302300717,10
CHEOPS,0.0036074806410253397,10
TESS,0.0036133904261105862,120
CHEOPS,0.003614667557637645,10
CHEOPS,0.003621054612880897,10
CHEOPS,0.003622881966233926,10
CHEOPS,0.0036241518395521213,10
TESS,0.003630107019790686,120
CHEOPS,0.0036313403620144113,10
CHEOPS,0.003637725677586846,10
CHEOPS,0.003639552361835715,10
CHEOPS,0.003640822904258071,10
CHEOPS,0.003648011560541193,10
CHEOPS,0.003654400087813597,10
CHEOPS,0.003656224564018737,10
CHEOPS,0.0036574941027848525,10
CHEOPS,0.0036646845656492072,10
